Reference;Region;Bioregion;WDepth;Specie;Genus;LifeForm;Core length;DBD;Mud;CaCO3;OM;Corg;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;1.51;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;2.74;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;2.9;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;2.31;;
41;E Australia;Temperate Southern Oceans;;Posidonia australis;Posidonia spp.;Persistent;5;;;;;1.97;;
42;Atlantic Europe;Temperate North Atlantic;intertidal;Zostera noltii;Zostera spp.;Opportinistic;5;;86.5;6.3;;;;
42;Atlantic Europe;Temperate North Atlantic;intertidal;Zostera noltii;Zostera spp.;Opportinistic;5;;81.6;8.6;;;;
42;Atlantic Europe;Temperate North Atlantic;intertidal;Zostera noltii;Zostera spp.;Opportinistic;5;;87.6;8.1;;;;
42;Atlantic Europe;Temperate North Atlantic;intertidal;Zostera noltii;Zostera spp.;Opportinistic;5;;65.8;5.2;;;;
43;NW Africa;Mediterranean;;Zostera noltii;Zostera spp.;Opportinistic;30;;49.09;;0.61;0.034;;
44;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;93.1;;;;;
44;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;27.2;;;;;
44;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;1.96;;;;;
45;Atlantic Europe;Temperate North Atlantic;;Zostera noltii;Zostera spp.;Opportinistic;3;;40.7;;7.6;2.83;;
46;Baltic Sea;Temperate North Atlantic;4;Zostera marina;Zostera spp.;Opportinistic;10;;1.25;;;0.54;;
46;Baltic Sea;Temperate North Atlantic;4;Zostera marina;Zostera spp.;Opportinistic;10;;1.64;;;0.6;;
46;Baltic Sea;Temperate North Atlantic;4;Zostera marina;Zostera spp.;Opportinistic;10;;1.73;;;0.55;;
46;Baltic Sea;Temperate North Atlantic;4;Zostera marina;Zostera spp.;Opportinistic;10;;1.64;;;0.57;;
47;Atlantic Europe;Temperate North Atlantic;;Zostera noltii;Zostera spp.;Opportinistic;3;;40.7;;7.6;2.83;;
48;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;10;;;;;0.269718;;
48;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;10;;;;;0.227569;;
48;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;10;;;;;0.889202;;
